5	-5	0.6	1.5708	-5	5	0.6	1.5708	5	5	0.6	1.5708	-5	-5	0.6	1.5708	-5	0	0.6	1.5708	
3.8173	-3.8613	0.6	1.5708	-3.8573	3.8253	0.6	1.5708	3.8173	3.8253	0.6	1.5708	-3.8613	-3.8773	0.6	1.5708	-3.004	-0.036	0.6	1.5708	
2.63443	-2.71669	0.6	1.5708	-2.84467	3.0544	0.6	1.5708	2.6353	2.65425	0.6	1.5708	-2.88233	-3.17845	0.6	1.5708	-1.03619	-0.0792818	0.6	1.5708	
1.85196	-2.74314	0.6	1.5708	-2.14677	2.18741	0.6	1.5708	1.74576	2.57018	0.6	1.5708	-2.2721	-2.34749	0.6	1.5708	0.0618955	-0.118514	0.6	1.5708	
1.33693	-3.50471	0.6	1.5708	-3.18311	3.10862	0.6	1.5708	1.2805	3.19709	0.6	1.5708	-2.38545	-1.95918	0.6	1.5708	2.02588	-0.141758	0.6	1.5708	
1.02541	-3.70759	0.6	1.5708	-4.25845	2.15262	0.6	1.5708	0.222112	2.65738	0.6	1.5708	-1.75153	-0.486649	0.6	1.5708	3.04612	-0.23846	0.6	1.5708	
0.335441	-3.40332	0.6	1.5708	-5.26946	0.946035	0.6	1.5708	-0.265145	3.40373	0.6	1.5708	-1.57103	-0.145916	0.6	1.5708	3.4628	-0.251617	0.6	1.5708	
-0.241692	-3.36401	0.6	1.5708	-5.82613	-0.496044	0.6	1.5708	-0.835317	4.13763	0.6	1.5708	-1.89814	0.297726	0.6	1.5708	3.74224	-0.213294	0.6	1.5708	
-0.729542	-3.14652	0.6	1.5708	-6.02773	-2.03829	0.6	1.5708	-1.21368	4.70927	0.6	1.5708	-1.75311	0.726311	0.6	1.5708	3.96579	-0.210635	0.6	1.5708	
-1.30769	-2.91336	0.6	1.5708	-4.17405	-2.54843	0.6	1.5708	-1.84846	5.20402	0.6	1.5708	-1.2185	1.16561	0.6	1.5708	4.14863	-0.172508	0.6	1.5708	
0.655358	-3.06844	0.6	1.5708	-3.64538	-4.17015	0.6	1.5708	-2.99828	5.22443	0.6	1.5708	0.00920057	1.91649	0.6	1.5708	4.29491	-0.142006	0.6	1.5708	
1.1004	-2.95468	0.6	1.5708	-2.58927	-4.82125	0.6	1.5708	-3.61784	3.90685	0.6	1.5708	0.99536	2.50119	0.6	1.5708	4.64588	0.0171611	0.6	1.5708	
